Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201027_P23983_AP01_Transect_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Mar,42.18,0.04,0.01,-0.03,0,0.01,0.46,0.27,55,0.5,0.05,2.7,101.57,,5.64,0.01,0,0,0.06,0.04,9.31,0.13,0.01,1.35,0.52,,1.14,0.11,,100.32,0.91,101.23
201027_P23983_AP01_Transect_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Apr,42.49,0.06,0.04,-0.01,0,0.03,0.47,0.27,54.68,0.47,0.04,2.71,101.48,,5.66,0.02,0.01,0,0.06,0.04,9.23,0.13,0.01,1.35,0.52,,1.14,0.11,,100.23,0.92,101.16
201027_P23983_AP01_Transect_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-May,42.11,0.04,0.02,-0.02,0.01,0.04,0.48,0.27,54.98,0.53,0.06,2.75,101.54,,5.62,0.01,0,0,0.06,0.04,9.29,0.14,0.01,1.37,0.49,,1.16,0.12,,100.26,0.85,101.12
201027_P23983_AP01_Transect_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jun,42.4,0.07,0.05,0.01,0,0.05,0.53,0.44,54.74,0.49,0.07,2.65,101.81,,5.65,0.02,0.01,0.01,0.07,0.06,9.23,0.13,0.02,1.32,0.55,,1.12,0.11,,100.58,0.97,101.55
201027_P23983_AP06_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.74,0.04,0.03,-0.01,0.01,0.05,0.49,0.32,54.55,0.62,0.09,2.88,101.08,,5.59,0.01,0,0.01,0.07,0.04,9.25,0.17,0.02,1.44,0.39,,1.21,0.14,,99.73,0.69,100.42
201027_P23983_AP06_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,41.29,0.14,0.03,-0.04,0.07,0.06,0.53,0.37,53.8,0.67,0.08,2.75,100.11,,5.6,0.04,0,0.01,0.07,0.05,9.23,0.18,0.02,1.39,0.42,,1.16,0.15,,98.8,0.75,99.55
201027_P23983_AP09_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.52,0.1,0.07,0,0.03,0.06,0.61,0.43,53.93,0.83,0.13,2.34,100.41,,5.64,0.03,0.01,0.01,0.08,0.06,9.26,0.23,0.03,1.19,0.59,,0.99,0.19,,99.24,1.03,100.26
201027_P23983_AP10_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,42.1,0.07,0.03,-0.02,0.01,0.03,0.56,0.27,54.66,0.56,0.05,3.09,101.78,,5.59,0.02,0,0,0.07,0.04,9.19,0.15,0.01,1.53,0.32,,1.3,0.13,,100.35,0.56,100.91
201027_P23983_AP11_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.84,0.04,0.04,-0.01,0,0.02,0.6,0.3,54.29,0.65,0.06,3.06,101.15,,5.59,0.01,0.01,0,0.08,0.04,9.17,0.17,0.01,1.53,0.3,,1.29,0.15,,99.71,0.53,100.25
201027_P23983_AP11_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,41.64,0.08,0.06,-0.02,-0.01,0.04,0.6,0.35,54.22,0.72,0.05,2.76,100.84,,5.6,0.02,0.01,0,0.08,0.05,9.23,0.19,0.01,1.39,0.42,,1.16,0.16,,99.52,0.74,100.25
201027_P23983_AP12_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,42.33,0.07,0.03,-0.01,0,0.04,0.49,0.27,54.81,0.54,0.05,2.69,101.6,,5.65,0.02,0,0,0.07,0.04,9.25,0.14,0.01,1.34,0.52,,1.13,0.12,,100.35,0.91,101.25
201027_P23983_AP13_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.86,0.08,0.06,-0.01,0.01,0.07,0.69,0.57,54.25,0.91,0.09,2.58,101.54,,5.61,0.02,0.01,0.01,0.09,0.08,9.2,0.24,0.02,1.29,0.46,,1.09,0.21,,100.25,0.81,101.06
201027_P23983_AP13_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,41.61,0.06,0.08,-0.02,0.05,0.06,0.68,0.41,54.22,0.92,0.1,2.59,101.05,,5.6,0.02,0.01,0.01,0.09,0.05,9.23,0.25,0.02,1.3,0.45,,1.09,0.21,,99.75,0.79,100.54
201027_P23983_AP13_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Mar,42.1,0.06,0.11,-0.01,0.07,0.06,0.68,0.4,53.91,0.89,0.1,2.52,101.24,,5.65,0.02,0.02,0.01,0.09,0.05,9.15,0.24,0.02,1.26,0.5,,1.06,0.2,,99.98,0.88,100.85
201027_P23983_AP14_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.68,0.09,0.07,-0.01,0.04,0.05,0.55,0.32,54.18,0.65,0.08,2.85,100.86,,5.6,0.03,0.01,0.01,0.07,0.04,9.21,0.17,0.02,1.43,0.4,,1.2,0.15,,99.51,0.7,100.21
201027_P23983_AP14_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,42.14,0.08,0.06,-0.01,0.03,0.06,0.54,0.44,54.2,0.73,0.09,2.38,101.13,,5.67,0.02,0.01,0.01,0.07,0.06,9.23,0.2,0.02,1.2,0.61,,1,0.16,,99.96,1.06,101.03
201027_P23983_AP15_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,42.42,0.06,0.03,-0.02,0.01,0.02,0.62,0.36,54.49,0.51,0.07,2.73,101.67,,5.66,0.02,0,0,0.08,0.05,9.2,0.14,0.02,1.36,0.5,,1.15,0.12,,100.41,0.89,101.29
